snt_id,sdr,sdr_i,si-snr,si-snr_i
1089-134686-0000_121-127105-0031.wav,19.57916259765625,19.59709930419922,19.45240020751953,19.527713775634766
1089-134686-0000_260-123440-0016.wav,20.03308868408203,19.791093826293945,19.73961639404297,19.645483016967773
1089-134686-0000_61-70968-0047.wav,18.016460418701172,17.858762741088867,17.006423950195312,17.060266494750977
1089-134686-0002_7729-102255-0037.wav,17.89304542541504,17.79296112060547,17.6938533782959,17.6602840423584
1089-134686-0004_1284-1180-0027.wav,22.009937286376953,21.74729347229004,21.58646583557129,21.4967098236084
1089-134686-0004_6829-68771-0005.wav,18.976116180419922,18.62558364868164,18.65064239501953,18.44454574584961
1089-134686-0004_8463-294828-0016.wav,22.025896072387695,22.021371841430664,21.734050750732422,21.82045555114746
1089-134686-0005_7176-92135-0020.wav,15.978209495544434,15.862829208374023,15.233654022216797,15.177895545959473
1089-134686-0006_1580-141083-0022.wav,23.11513900756836,22.946781158447266,22.827987670898438,23.06330108642578
1089-134686-0006_4446-2271-0018.wav,21.776065826416016,21.651470184326172,21.515499114990234,21.435230255126953
1089-134686-0007_1995-1836-0000.wav,23.285320281982422,23.017162322998047,22.901508331298828,22.791147232055664
1089-134686-0007_7021-85628-0018.wav,21.1475830078125,21.282468795776367,20.853511810302734,21.044139862060547
1089-134686-0007_8455-210777-0052.wav,20.204063415527344,19.511335372924805,19.252079010009766,19.10552406311035
1089-134686-0008_672-122797-0007.wav,20.206253051757812,20.16208267211914,20.01433563232422,20.03233528137207
1089-134686-0008_8230-279154-0012.wav,21.351825714111328,21.11225700378418,20.932363510131836,20.93821144104004
1089-134686-0010_4507-16021-0023.wav,24.13882064819336,23.96723175048828,23.632892608642578,23.544227600097656
1089-134686-0011_1320-122612-0004.wav,21.157608032226562,20.85582733154297,20.676158905029297,20.501747131347656
1089-134686-0013_3570-5695-0000.wav,21.73435401916504,21.529390335083008,21.301578521728516,21.29743194580078
1089-134686-0013_7127-75946-0007.wav,16.22422981262207,15.951026916503906,15.420042037963867,15.28626823425293
1089-134686-0015_4970-29093-0003.wav,23.29582977294922,23.22398567199707,23.085681915283203,23.099960327148438
1089-134686-0015_5142-33396-0067.wav,24.4927978515625,24.241371154785156,24.23418426513672,24.206111907958984
1089-134686-0016_672-122797-0004.wav,20.815513610839844,20.6478328704834,20.284770965576172,20.232568740844727
1089-134686-0017_1580-141084-0045.wav,22.253704071044922,21.985990524291992,21.68194580078125,21.658647537231445
1089-134686-0019_5142-33396-0021.wav,22.922224044799805,22.804214477539062,22.582420349121094,22.607370376586914
1089-134686-0021_4992-41797-0018.wav,22.563533782958984,22.527740478515625,22.353168487548828,22.371965408325195
1089-134686-0022_1580-141083-0044.wav,22.10391616821289,21.941238403320312,21.804794311523438,21.74212074279785
